"","species","Freq"
"1","Abramis brama (Linnaeus, 1758)",61
"2","Alburnus alburnus (Linnaeus, 1758)",660
"3","Anguilla anguilla (Linnaeus, 1758)",2140
"4","Astacidae",100
"5","Astacus astacus (Linnaeus, 1758)",618
"6","Barbatula barbatula (Linnaeus, 1758)",620
"7","Blicca bjoerkna (Linnaeus, 1758)",74
"8","Carassius carassius (Linnaeus, 1758)",35
"9","Cobitis taenia Linnaeus, 1758",3
"10","Coregonus albula albula",5
"11","Coregonus maraena (Bloch, 1779)",18
"12","Cottus gobio Linnaeus, 1758",9702
"13","Cottus Linnaeus, 1758",377
"14","Cottus poecilopus Heckel, 1840",4615
"15","Cyprinidae",60
"16","Cyprinus carpio Linnaeus, 1758",6
"17","Esox lucius Linnaeus, 1758",4854
"18","Gasterosteidae",66
"19","Gasterosteus aculeatus Linnaeus, 1758",178
"20","Gobio gobio (Linnaeus, 1758)",167
"21","Gymnocephalus cernua (Linnaeus, 1758)",310
"22","Lampetra fluviatilis (Linnaeus, 1758)",122
"23","Lampetra planeri (Bloch, 1784)",2220
"24","Leucaspius delineatus (Heckel, 1843)",12
"25","Leuciscus aspius (Linnaeus, 1758)",6
"26","Leuciscus idus (Linnaeus, 1758)",103
"27","Leuciscus leuciscus (Linnaeus, 1758)",93
"28","Lota lota (Linnaeus, 1758)",7081
"29","Oncorhynchus mykiss (Walbaum, 1792)",14
"30","Osmerus eperlanus (Linnaeus, 1758)",3
"31","Pacifastacus leniusculus (Dana, 1852)",4096
"32","Perca fluviatilis Linnaeus, 1758",3660
"33","Petromyzon marinus Linnaeus, 1758",8
"34","Petromyzontidae",931
"35","Phoxinus phoxinus (Linnaeus, 1758)",10999
"36","Platichthys flesus (Linnaeus, 1758)",116
"37","Pleuronectes platessa Linnaeus, 1758",4
"38","Pomatoschistus minutus (Pallas, 1770)",2
"39","Pungitius pungitius (Linnaeus, 1758)",441
"40","Rutilus rutilus (Linnaeus, 1758)",3049
"41","Salmo Linnaeus, 1758",324
"42","Salmo salar Linnaeus, 1758",6897
"43","Salmo trutta Linnaeus, 1758",25180
"44","Salmonidae",19
"45","Salvelinus alpinus (Linnaeus, 1758)",46
"46","Salvelinus fontinalis (Mitchill, 1814)",856
"47","Sander lucioperca (Linnaeus, 1758)",12
"48","Scardinius erythrophthalmus (Linnaeus, 1758)",23
"49","Silurus glanis Linnaeus, 1758",32
"50","Squalius cephalus (Linnaeus, 1758)",287
"51","Thymallus thymallus (Linnaeus, 1758)",3660
"52","Tinca tinca (Linnaeus, 1758)",108
"53","Vimba vimba (Linnaeus, 1758)",9
